Unnamed: 0,year,name,Name (reporting),id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_played,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set,English short name lower case,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2,country,latitude,longitude,country_code,Continent
24,1991-2023,Alberto Mancini,A. Mancini,101606,24.8,ARG,180,R,12,1454,65,0,669.2307692,136,67,0.492647059,5,0,0,0,0,0,0,2,0,1,0,2,0,0,0.243484225,0.173525377,0.746227709,0.234332425,0.63134933,0.670286278,0.511693435,0.297409326,0.508604713,0.560626703,0.632373114,0.417982989,0.598698482,0.56,1,0,6,0.166666667,14,0.285714286,34,0.323529412,62,0.370967742,103,0.436893204,123,119,75.86861314,809.540146,311,296,105.7563025,42.51689189,Argentina,AR,ARG,32,ISO 3166-2:AR,Argentina,-38.416097,-63.616672,AR,South America
25,1991-2023,Alberto Martin,A. Martin,103252,31.7,ESP,175,R,34,1008,270,0.011111111,671.2962963,487,218,0.447638604,5,3,0.6,0,0,0,0,0,0,0,0,5,3,0,0.180361091,0.302321297,0.702100221,0.256320997,0.611302823,0.654266148,0.491049338,0.313418591,0.508065079,0.611945768,0.696757553,0.418862275,0.57244844,0.510204082,3,0.333333333,18,0.166666667,49,0.102040816,93,0.23655914,199,0.301507538,381,0.388451444,482,482,79.6045082,931.8606557,1177,1180,97.23236515,39.71694915,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
26,1991-2023,Aldin Setkic,A. Setkic,105060,25.1,BIH,193,R,165,321,3,0,250,15,8,0.533333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0.566666667,0.032258065,0.650862069,0.556291391,0.469135802,0.172413793,0.396551724,0.193548387,1.166666667,0.166666667,0.628571429,1,0,,0,,0,,0,,0,,2,0,3,3,515.6,232.4666667,7,7,88.66666667,38,Bosnia and Herzegovina,BA,BIH,70,ISO 3166-2:BA,Bosnia and Herzegovina,43.915886,17.679076,BA,Europe
27,1991-2023,Alejandro Aramburu,A. Aramburu,101574,30.1,PER,175,R,208,198,2,0,1125,24,11,0.458333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.541666667,0.130434783,0.873493976,0.496551724,0.571428571,0.211111111,0.528301887,0.391304348,1.041666667,0.333333333,0.56,0.5,0,,0,,1,0,1,0,2,0,3,0,2,2,352.0416667,206.25,5,5,90,36,Peru,PE,PER,604,ISO 3166-2:PE,Peru,-9.189967,-75.015152,PE,South America
28,1991-2023,Alejandro Davidovich Fokina,A. Davidovich Fokina,200221,24.1,ESP,183,R,24,1723,86,0,808.1395349,174,86,0.494252874,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.202257336,0.205417607,0.739503386,0.259209344,0.670906853,0.655759429,0.506857855,0.313690343,0.51366415,0.634770889,0.625733634,0.408351026,0.583694084,0.451219512,3,0.333333333,9,0.111111111,25,0.16,48,0.25,95,0.357894737,147,0.462585034,171,167,67.22413793,1800.5,467,453,121.0239521,44.61589404,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
29,1991-2023,Alejandro Falla,A. Falla,104268,33.2,COL,185,L,51,869,159,0,811.3207547,283,114,0.402826855,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.275962472,0.220964089,0.716596571,0.22197381,0.592718662,0.667249272,0.493459302,0.286489193,0.497840306,0.54710955,0.662892268,0.405720957,0.572474378,0.435897436,4,0,11,0,30,0.133333333,57,0.228070175,128,0.2890625,209,0.330143541,256,250,108.2897527,1241.614841,662,644,102.588,39.82453416,Colombia,CO,COL,170,ISO 3166-2:CO,Colombia,4.570868,-74.297333,CO,South America
30,1991-2023,Alejandro Gonzalez,A. Gonzalez,105292,29.9,COL,190,R,74,723,34,0,720.5882353,61,18,0.295081967,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3104,0.2208,0.664,0.187004754,0.602898551,0.646634615,0.467153285,0.270088347,0.484375,0.489698891,0.728,0.381877023,0.538461538,0.428571429,0,,4,0,6,0,9,0.111111111,24,0.208333333,36,0.222222222,54,52,118.1639344,1190.622951,137,131,98.34615385,39.03816794,Colombia,CO,COL,170,ISO 3166-2:CO,Colombia,4.570868,-74.297333,CO,South America
31,1991-2023,Alejandro Hernandez,A. Hernandez,103060,26.9,MEX,180,R,126,342,25,0,480,77,37,0.480519481,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.396907216,0.368556701,0.682989691,0.236180905,0.581727062,0.674618953,0.450691244,0.313284865,0.474899598,0.540201005,0.724226804,0.437209302,0.56227758,0.64,0,,2,0,2,0,7,0,14,0.214285714,34,0.205882353,35,35,155.2987013,547.038961,84,84,87,36.25,Mexico,MX,MEX,484,ISO 3166-2:MX,Mexico,23.634501,-102.552784,MX,North America
33,1991-2023,Alejo Mancisidor,A. Mancisidor,101780,25,ESP,183,R,120,350,21,0,345.2380952,26,5,0.192307692,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.27238806,0.358208955,0.559701493,0.280442804,0.517036236,0.630753138,0.423292273,0.3115727,0.52393617,0.723247232,0.940298507,0.387755102,0.531746032,0,0,,1,0,2,0,3,0.333333333,8,0.25,14,0.142857143,24,24,150.7307692,670.2692308,59,59,100.5833333,40.91525424,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
34,1991-2023,Aleksandar Kovacevic,A. Kovacevic,206499,24.9,USA,,U,101,568,8,0,656.25,14,6,0.428571429,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.725146199,0.216374269,0.766081871,0.170588235,0.598222222,0.73551263,0.453539823,0.274961598,0.436842105,0.464705882,0.608187135,0.367088608,0.615384615,0.6,0,,1,0,1,0,2,0.5,4,0.5,12,0.416666667,14,13,86.42857143,1245.571429,35,32,112.6153846,45.75,United States Of America,US,USA,840,ISO 3166-2:US,United States,37.09024,-95.712891,US,North America
